公園名稱,編號,裡別,面積,類別,座落位置,使用分區,維護管理單位,所在轄區,X座標(TW97),y座標(TW97)
公(兒)8,1014,,0.14,鄰里公園,,鄰里,仁德區公所,仁德區,174265.540000,2541010.580000
公(兒)9,1015,,0.09,鄰里公園,,鄰里,仁德區公所,仁德區,174315.520000,2541101.700000
公(兒)10,1016,,0.09,鄰里公園,,鄰里,仁德區公所,仁德區,174304.800000,2541049.260000
公(兒)11,1017,,0.09,鄰里公園,,鄰里,仁德區公所,仁德區,174296.270000,2541005.000000
公(兒)13,1019,,0.47,鄰里公園,,鄰里,仁德區公所,仁德區,173255.880000,2540486.240000
公(兒)17,1020,,0.11,鄰里公園,,鄰里,仁德區公所,仁德區,172460.220000,2541684.890000
公1,1022,,2.2231,區域公園,,大型,北門區公所,北門區,161319.720000,2576199.180000
永康公園,1023,,5.024,區域公園,,大型,永康區公所,永康區,172378.460000,2544835.720000
探索教育公園,1024,,2.2,區域公園,,大型,永康區公所,永康區,174036.950000,2546751.390000
小橋公園,1025,東橋裡,1.28,區域公園,,大型,公園管理二科,永康區,171440.880000,2546984.130000
中華里兒9公園,1026,中華里,0.2,鄰里公園,,鄰里,永康區公所,永康區,171971.940000,2548361.660000
中華里兒10公園,1027,中華里,0.2,鄰里公園,,鄰里,永康區公所,永康區,171718.760000,2544450.030000
安康公1公園,1028,安康裡,0.15,鄰里公園,,鄰里,永康區公所,永康區,170828.840000,2546208.160000
安康裡公2公園,1029,安康裡,0.23,鄰里公園,,鄰里,永康區公所,永康區,170652.790000,2546414.180000
大橋裡公3鄰里公園,1030,大橋裡,0.12,鄰里公園,,鄰里,永康區公所,永康區,170838.300000,2546545.210000
永康市立游泳池,1031,,0.34,鄰里公園,,鄰里,永康區公所,永康區,170911.390000,2546798.430000
洲仔尾公園,1032,,0.53,鄰里公園,,鄰里,永康區公所,永康區,171005.920000,2548711.020000
安康裡公2公園,1033,安康裡,,鄰里公園,,鄰里,永康區公所,永康區,171147.080000,2544830.720000
龍中公園,1034,,0.91,鄰里公園,,鄰里,永康區公所,永康區,174280.850000,2548749.290000
正強裡公兒4-1鄰里公園,1035,正強裡,0.2,鄰里公園,,鄰里,永康區公所,永康區,173657.780000,2547697.730000
西灣裡公兒9-1鄰里公園,1037,西灣裡,0.2,鄰里公園,,鄰里,永康區公所,永康區,174223.490000,2545588.540000
西灣裡公兒9-2鄰里公園,1038,西灣裡,0.27,鄰里公園,,鄰里,永康區公所,永康區,174044.600000,2545628.540000
西灣裡公兒9-3鄰里公園,1039,西灣裡,0.19,鄰里公園,,鄰里,永康區公所,永康區,174236.000000,2545283.490000
崑山裡公兒10-1鄰里公園,1040,崑山裡,0.24,鄰里公園,,鄰里,永康區公所,永康區,174013.990000,2544906.760000
永欣公園,1041,,0.14,鄰里公園,,鄰里,永康區公所,永康區,171883.610000,2549448.290000
二王裡公兒16-3鄰里公園,1042,二王裡,0.19,鄰里公園,,鄰里,永康區公所,永康區,172333.890000,2546466.970000
光復裡公兒17-2鄰里公園,1043,光復裡,0.24,鄰里公園,,鄰里,永康區公所,永康區,172642.300000,2544370.120000
復華里公兒18-1鄰里公園,1044,復華里,0.4,鄰里公園,,鄰里,永康區公所,永康區,172810.410000,2546041.470000
兒3,1045,,0.25,鄰里公園,,鄰里,公園管理二科,永康區,170980.750000,2546830.840000
東橋2號公園,1046,,0.27,鄰里公園,,鄰里,永康區公所,永康區,171837.490000,2546711.960000
復華里公兒鄰里公園,1047,復華里,0.4,鄰里公園,,鄰里,永康區公所,永康區,173082.110000,2544206.740000
公兒二(?吧哖紀念公園),1048,,1.88,鄰里公園,,鄰里,玉井區公所,玉井區,194476.330000,2557638.350000
公3,1050,,2.07,區域公園,,大型,白河區公所,白河區,190439.490000,2582616.890000
公2,1051,,1.09,區域公園,,大型,白河區公所,白河區,190411.250000,2582715.350000
公兒1,1052,,0.31,鄰里公園,,鄰里,白河區公所,白河區,190320.540000,2582939.530000
安定公滯一,1053,,26.77,區域公園,,大型,安定區公所,安定區,174360.390000,2557978.780000
公一,1054,,0.4414,鄰里公園,,鄰里,西港區公所,西港區,168359.710000,2558418.350000
中山公園,1055,,2.5,區域公園,,大型,佳裡區公所,佳裡區,165870.140000,2563329.480000
佳裡公八,1056,,0.2,鄰里公園,,鄰里,佳裡區公所,佳裡區,165789.650000,2563616.770000
