公園名稱,編號,裡別,面積,類別,座落位置,使用分區,維護管理單位,所在轄區,X座標(TW97),y座標(TW97)
南島之星,72,,315.6,好望角,社福大樓-中華西路、南島路口,機關用地,社會局兒少科,安平區,166577.320000,2543604.430000
永華綠園,73,,3660,好望角,市政大樓永華路門口,機關用地,秘書處,安平區,166451.100000,2543437.130000
獅古幽情,74,,約1210,好望角,安平路850巷4弄-公墓後面,綠地,安平區公所,安平區,163968.650000,2544479.500000
古堡入口意象,76,,920,好望角,安平天後宮旁公園,古蹟保存區及綠地,"都市發展局都市更新科,安平天後宮",安平區,163981.060000,2544606.790000
區政綠能,77,,1800,好望角,平通路與育平路交叉口-安平區政園區,機關用地,安平區公所,安平區,164716.550000,2543881.540000
二二八紀念公園,78,建平裡,0.9,區域公園,建平路與平通路與建平九街口,大型,公園管理一科,安平區,166201.970000,2543550.480000
世平公園,79,金城裡,1.35,區域公園,安平一路、世平路口,大型,公園管理一科,安平區,162800.370000,2544317.570000
府平公園,80,國平裡,4.7,區域公園,郡平路、國平路、府平路,大型,公園管理一科,安平區,165121.470000,2543216.220000
慶平公園,81,建平裡,2.52,區域公園,慶平路、文平路口,大型,公園管理一科,安平區,165846.360000,2544039.400000
華平公園(舊苗圃),82,華平裡,1.2,區域公園,國平路與育平九街與怡平路與永華8街,大型,公園管理一科,安平區,165168.120000,2543906.340000
安億公園,83,平通裡,1.63,區域公園,安億路,大型,公園管理一科,安平區,164446.380000,2544096.810000
運河南岸綠地,84,建平裡,1.48,區域公園,運河南岸,大型,公園管理一科,安平區,166169.880000,2544249.780000
運河景觀公園,85,華平裡,2.6,區域公園,運河南岸(自安億橋至望月橋),大型,公園管理一科,安平區,164327.460000,2544277.450000
億載公園(公5),86,億載裡,15.09,區域公園,光州路、億載金城旁,大型,公園管理一科,安平區,163873.820000,2543191.970000
石珠公園,87,,1.04,區域公園,文平路、建平五街,大型,公園管理一科,安平區,165911.150000,2543102.260000
