統計年,縣市別,區域別,年底人口數,土地面積,人口密度
104,高雄市,田寮區,7473,92.6802,81
104,高雄市,阿蓮區,29319,34.6164,847
104,高雄市,路竹區,53033,48.4348,1095
104,高雄市,湖內區,29615,20.1615,1469
104,高雄市,茄萣區,30551,15.7624,1938
104,高雄市,永安區,14152,22.6141,626
104,高雄市,彌陀區,19655,14.7772,1330
104,高雄市,梓官區,36429,11.5967,3141
104,高雄市,旗山區,37770,94.6122,399
104,高雄市,美濃區,40810,120.0316,340
104,高雄市,六龜區,13467,194.1584,69
104,高雄市,甲仙區,6291,124.034,51
104,高雄市,杉林區,12383,104.0036,119
104,高雄市,內門區,14978,95.6224,157
104,高雄市,茂林區,1890,194,10
104,高雄市,桃源區,4239,928.98,5
104,高雄市,那瑪夏區,3149,252.9895,12
104,宜蘭縣,宜蘭市,96051,29.408,3266
104,宜蘭縣,羅東鎮,72404,11.3448,6382
104,宜蘭縣,蘇澳鎮,40726,89.0196,457
104,宜蘭縣,頭城鎮,29798,100.893,295
104,宜蘭縣,礁溪鄉,35838,101.4278,353
104,宜蘭縣,壯圍鄉,24258,38.4769,630
104,宜蘭縣,員山鄉,32277,111.9106,288
104,宜蘭縣,冬山鄉,53634,79.8573,672
104,宜蘭縣,五結鄉,39559,38.8671,1018
104,宜蘭縣,三星鄉,21441,144.2238,149
104,宜蘭縣,大同鄉,6080,657.5442,9
104,宜蘭縣,南澳鄉,6051,740.652,8
104,新竹縣,竹北市,170790,46.8341,3647
104,新竹縣,關西鎮,29936,125.5193,238
104,新竹縣,新埔鎮,34111,72.1911,473
104,新竹縣,竹東鎮,96311,53.5133,1800
104,新竹縣,湖口鄉,77280,58.4303,1323
104,新竹縣,橫山鄉,13515,66.3502,204
104,新竹縣,新豐鄉,56125,46.3496,1211
104,新竹縣,芎林鄉,20284,40.7858,497
104,新竹縣,寶山鄉,14325,64.7871,221
104,新竹縣,北埔鄉,9691,50.6676,191
104,新竹縣,峨眉鄉,5642,46.801,121
104,新竹縣,尖石鄉,9417,527.5795,18
104,新竹縣,五峰鄉,4615,227.728,20
104,苗栗縣,苗栗市,90469,37.8878,2388
104,苗栗縣,苑裡鎮,103239,68.2473,1513
104,苗栗縣,通霄鎮,47849,107.8486,444
104,苗栗縣,竹南鎮,36172,37.5592,963
104,苗栗縣,頭份鎮,84469,53.3205,1584
104,苗栗縣,後龍鎮,37837,75.8079,499
104,苗栗縣,卓蘭鎮,18057,76.3153,237
104,苗栗縣,大湖鄉,15276,90.8396,168
104,苗栗縣,公館鄉,34536,71.4523,483
104,苗栗縣,銅鑼鄉,18710,78.3805,239
104,苗栗縣,南莊鄉,10577,165.4938,64
104,苗栗縣,頭屋鄉,11236,52.5046,214
104,苗栗縣,三義鄉,17020,69.3424,245
104,苗栗縣,西湖鄉,7466,41.0758,182
104,苗栗縣,造橋鄉,13354,47.9978,278
104,苗栗縣,三灣鄉,6994,52.2964,134
104,苗栗縣,獅潭鄉,4606,79.4324,58
104,苗栗縣,泰安鄉,6045,614.5127,10
104,彰化縣,彰化市,235010,65.6947,3577
104,彰化縣,鹿港鎮,124837,39.4625,3163
104,彰化縣,和美鎮,86407,39.9345,2164
